day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell,compound
2022-07-30,41.52666666666667,5.8,0.0090235441526768,0.0078939205076056,240.65,41.1553,-2.9,41.49137931034483,0.0013610207771733,6,41.7,41.421839080459776,0.23263461538461538
2022-07-31,41.4575,66.5,0.0073429181660684,0.267250512084713,2758.825,41.1553,-66.5,41.48609022556391,0.0040188046930032,2,,41.48609022556391,0.23263461538461538
2022-08-01,41.04508928571429,527.6,0.0032064111810504,0.0753127286028695,21874.38825,40.913640625000006,46.400000000000006,41.46017484836997,0.0001427458843875,56,41.43962195121952,41.48469139650873,0.32486230769230773
2022-08-02,40.97875,76.95,-0.0003295869484034,-0.0130615518727353,3137.2525,40.99228854166667,57.85,40.7700129954516,-0.0001697407650777,24,40.76580118694361,40.79973821989529,0.32504238410596026
2022-08-03,41.13269230769231,53.35,0.0017701609556268,0.0067011671947796,2192.762,41.06007211538462,-10.45,41.10144329896907,0.0001256076325169,26,41.20496503496504,41.03183385579938,0.06518301369863014
2022-08-04,41.017272727272726,673.15,0.00250799536885,0.1765868372819002,27583.85575,40.91484090909091,-86.85000000000001,40.97727958107406,0.000262329105373,22,40.72838649155721,41.16928749999999,0.08288168316831683
2022-08-05,41.708970588235296,1681.85,0.0027370888825707,0.0437052398759246,70571.128,41.59641323529412,1084.25,41.9604173975087,2.5986407750943675e-05,68,42.00400726654858,41.75865378179384,0.15148285714285714
2022-08-06,42.47125,9.15,-0.0208357348703169,-0.0486844380403456,388.4345,43.375,-9.15,42.45185792349727,-0.0053207036109667,4,,42.45185792349728,0.15148285714285714
2022-08-07,42.603,95.95,-0.0177982708933717,-0.3870801152737756,4077.88325,43.375,95.05,42.50008598228244,-0.0040341856724729,5,42.50014659685864,42.48722222222222,0.15148285714285714
2022-08-08,43.129666666666665,4295.4,0.0004473973092845,0.0128199915033625,185126.662,43.11082333333333,-554.3000000000001,43.09881780509383,2.984586186004229e-06,45,43.11951511587501,43.08285172278698,0.26644274809160307
2022-08-09,43.10722222222223,722.65,0.0029600330903263,0.3311831084225304,31187.60525,42.98,-596.55,43.15727565211375,0.0004582897784854,9,43.18155828707376,43.15495451788963,0.16241348314606743
2022-08-10,43.76380952380952,18403.65,-0.0060847746699141,-1.4888277632875098,801434.99825,44.030453571428566,1653.35,43.54761138415477,-8.089850455140745e-05,105,43.59994495687291,43.48494656812116,0.29808373983739833
2022-08-11,44.29684210526316,591.1,0.0002179058573013,0.051665724130243,26154.578,44.28756710526316,556.3000000000001,44.24729825748605,8.74060634922061e-05,19,44.24940386961827,44.1778735632184,0.2840322033898305
2022-08-12,44.28138888888889,475.8,-0.0022906580484336,-0.1412430007471519,20978.78975,44.38290138888889,2.0999999999999828,44.09161359815048,-0.0002968537216207,18,44.10966729441306,44.07339983111674,0.16595454545454547
2022-08-13,44.24428571428571,71.95,0.0021747330849442,0.0474346756955476,3191.1275,44.148275,-54.55,44.35201528839471,0.0006592727685274,7,44.137356321839086,44.38154150197628,0.16595454545454547
2022-08-14,44.11142857142857,37.150000000000006,-0.0008346063027701,-0.0044522569519581,1638.7325,44.148275,15.95,44.11123822341857,-0.0001198454092047,7,44.11,44.11433962264152,0.16595454545454547
2022-08-15,44.276428571428575,512.75,0.0007930732611122,0.0613712980667385,22746.021500000003,44.24133392857143,-451.95,44.36084154071185,0.0001196904886723,14,44.20324013157895,44.37077433398984,0.27549684210526315
2022-08-16,44.70416666666667,3.8,0.0006897829271862,-0.0040551101021791,169.28025,44.6756,-3.3,44.54743421052632,-0.0010671342374155,6,44.685,44.53774647887324,0.16145969387755102
2022-08-17,44.314,50.55,0.0059702450060126,0.0652912762412812,2249.91275,44.0514875,-49.45,44.50865974282888,0.0012916177297978,10,44.66636363636363,44.506925,0.3284277419354839
2022-08-18,43.97681818181818,259.0,-0.0005888151969055,-0.0193379295617273,11386.464249999995,44.00272727272728,-46.89999999999999,43.96318243243242,-7.466382070164999e-05,11,44.05563413484206,43.89907976462895,0.23991521739130434
2022-08-19,43.64416666666667,2237.25,0.0002909115369723,0.1015573020491406,97581.52625,43.63138888888889,-3.950000000000068,43.61672868476924,4.539381028009416e-05,18,43.567226749652974,43.66605613064429,0.3114418803418803
2022-08-20,43.91375,1.2,0.0204941223767976,0.0053755532239492,52.563500000000005,43.03185,-0.9,43.80291666666668,0.0044796276866243,4,44.06999999999999,43.76476190476191,0.3114418803418803
2022-08-21,43.76,9.95,0.0169211874460428,0.1683658150881266,435.4119999999999,43.03185,-9.95,43.76,0.0169211874460428,1,,43.76,0.3114418803418803
2022-08-22,43.419,5.550000000000001,0.0095822617661859,0.0132440447040581,241.66375,43.00673,-4.95,43.54301801801801,0.0023863143610915,5,43.83,43.52661904761904,0.2494534759358289
2022-08-23,41.378404255319154,2835.15,0.0022937135362742,0.2193186592879768,119100.1195,41.28265,-731.15,42.0084014955117,7.735698615169457e-05,47,41.81597219581749,42.12192846928188,0.14467254901960785
2022-08-24,39.97032608695652,5448.0,0.0060328930757571,1.0098370482507666,218886.059,39.73105706521739,-961.6,40.17732360499266,0.0001853592232472,46,40.39149496255349,40.02741434722917,0.20634357541899445
2022-08-25,40.98148148148148,2205.05,0.0045816979468354,0.2923594890956156,90438.30225,40.79557037037037,-1945.65,41.01417303462506,0.0001325863309655,27,41.35794911333848,40.9926885826487,0.010986440677966102
2022-08-26,40.99,2.75,0.0014344887453481,0.0002743389268908,112.91599999999998,40.93125,-2.75,41.06036363636363,9.975960977848522e-05,6,,41.06036363636364,0.06467684210526316
2022-08-27,40.035,50.0,-0.0102595797280594,-0.2564894932014866,2001.75,40.45,-50.0,40.035,-0.0051297898640297,2,,40.035,0.06467684210526316
2022-08-28,40.1675,7.3,-0.0069839307787393,-0.0308961681087767,292.7855,40.45,-3.3,40.10760273972602,-0.0042323517957228,2,40.3,40.035,0.06467684210526316
2022-08-29,40.42345679012345,71.0,0.0009499634544547,0.000282952800411,2869.9525,40.3850962962963,-70.3,40.4218661971831,3.985250710014238e-06,243,40.48428571428572,40.42155697098373,0.2550344827586207
2022-08-30,39.43897058823529,1169.5,0.0083716520434962,0.4112567638677242,46463.0475,39.11301470588235,361.2,39.72898460880718,0.0003516517861203,68,39.3619967988502,40.423959544723495,0.24746554054054057
2022-08-31,39.37068965517241,1.8,0.003421097629743,0.0002426412793579,70.90375,39.23639913793103,1.0,39.390972222222224,0.0001348007107543,29,39.45017857142855,39.18375,0.25660070422535214
2022-09-01,38.722307692307695,250.15,0.0053809212280757,0.0009498852068329,9634.845,38.51507403846154,-248.15,38.51627023785729,3.797262469849933e-06,26,38.76499999999999,38.51527192454345,0.27056917293233085
2022-09-02,38.7175,1.85,0.0081369613331597,0.0032027079807316,71.54125,38.405,1.85,38.670945945945945,0.0017311935030981,4,38.670945945945945,,0.22539846153846155
2022-09-03,38.79833333333334,1.4,0.0137391948091537,0.0066192000348379,54.3415,38.2725,0.6,38.815357142857145,0.0047280000248842,3,38.8875,38.635,0.22539846153846155
2022-09-05,38.82285714285714,1.95,0.0143799632335788,0.0029800397525265,75.42975000000001,38.2725,-1.95,38.68192307692308,0.0015282255141161,7,,38.68192307692308,0.013867945823927764
2022-09-06,39.00744565217392,1847.9,0.0086336659558482,0.2686938680490084,71873.69175,38.67755434782608,-495.9,38.89479503761026,0.0001454049829801,92,39.135962647929,38.75567966550046,0.0927232
2022-09-07,39.752065217391305,28.8,-5.072863308305447e-05,0.0010353978117218,1153.4695,39.75332717391304,0.1000000000000007,40.05102430555555,3.5951312907008154e-05,46,39.75605536332179,40.348048780487794,0.36114410256410256
2022-09-08,41.64020833333333,907.55,0.0022309527293018,0.0861178198947158,37815.92,41.54790729166667,902.55,41.66813949644647,9.489044118199088e-05,24,41.66921302690459,41.2795,0.2520801282051282
2022-09-09,42.05261904761905,316.1,0.0032232928006774,0.0351776890133107,13335.5585,41.91771666666667,225.1,42.18778392913634,0.0001112865834018,21,42.17473207686621,42.2654065934066,0.29598761904761905
